29496	cape_customizer_preset1_slot1	int
29497	cape_customizer_preset1_slot2	int
29498	cape_customizer_preset1_slot3	int
29499	cape_customizer_preset1_slot4	int
29500	cape_customizer_preset2_slot1	int
29501	cape_customizer_preset2_slot2	int
29502	cape_customizer_preset2_slot3	int
29503	cape_customizer_preset2_slot4	int
29504	cape_customizer_preset3_slot1	int
29505	cape_customizer_preset3_slot2	int
29506	cape_customizer_preset3_slot3	int
29507	cape_customizer_preset3_slot4	int
29508	cape_customizer_preset4_slot1	int
29509	cape_customizer_preset4_slot2	int
29510	cape_customizer_preset4_slot3	int
29511	cape_customizer_preset4_slot4	int
29512	cape_customizer_preset5_slot1	int
29513	cape_customizer_preset5_slot2	int
29514	cape_customizer_preset5_slot3	int
29515	cape_customizer_preset5_slot4	int
29516	cape_customizer_preset6_slot1	int
29517	cape_customizer_preset6_slot2	int
29518	cape_customizer_preset6_slot3	int
29519	cape_customizer_preset6_slot4	int
29520	cape_customizer_detail_top	int
29521	cape_customizer_background_top	int
29522	cape_customizer_detail_bottom	int
29523	cape_customizer_background_bottom	int
